commercial_area_code,commercial_area_name,business_type,day_of_week,quarter_count,total_transactions,weekday_transactions,weekday_days,weekday_daily_average,weekly_daily_average,day_index,day_weight
3001491,이태원 관광특구,BAKERY,FRIDAY,12,1082708,160419,156,1028.3269,988.1942,104.06,1
3001491,이태원 관광특구,BAKERY,SATURDAY,12,1082708,222149,156,1424.0321,988.1942,144.1,6
3001491,이태원 관광특구,BAKERY,SUNDAY,12,1082708,185263,157,1180.0191,988.1942,119.41,4
3001492,명동 남대문 북창동 다동 무교동 관광특구,KOREAN_FOOD,MONDAY,12,22757445,3606222,157,22969.5669,20765.5502,110.61,2
3001492,명동 남대문 북창동 다동 무교동 관광특구,KOREAN_FOOD,TUESDAY,12,22757445,3823057,157,24350.6815,20765.5502,117.26,3
3001492,명동 남대문 북창동 다동 무교동 관광특구,KOREAN_FOOD,WEDNESDAY,12,22757445,3840135,157,24459.4586,20765.5502,117.79,4
3001492,명동 남대문 북창동 다동 무교동 관광특구,KOREAN_FOOD,THURSDAY,12,22757445,3887826,156,24921.9615,20765.5502,120.02,4
3001492,명동 남대문 북창동 다동 무교동 관광특구,KOREAN_FOOD,FRIDAY,12,22757445,3840938,156,24621.3974,20765.5502,118.57,4
3001492,명동 남대문 북창동 다동 무교동 관광특구,KOREAN_FOOD,SATURDAY,12,22757445,2238797,156,14351.2628,20765.5502,69.11,-6
3001492,명동 남대문 북창동 다동 무교동 관광특구,KOREAN_FOOD,SUNDAY,12,22757445,1520470,157,9684.5223,20765.5502,46.64,-6
3001492,명동 남대문 북창동 다동 무교동 관광특구,CHINESE_FOOD,MONDAY,12,1852607,278348,157,1772.9172,1690.5578,104.87,1
3001492,명동 남대문 북창동 다동 무교동 관광특구,CHINESE_FOOD,TUESDAY,12,1852607,309813,157,1973.3312,1690.5578,116.73,3
3001492,명동 남대문 북창동 다동 무교동 관광특구,CHINESE_FOOD,WEDNESDAY,12,1852607,315469,157,2009.3567,1690.5578,118.86,4
3001492,명동 남대문 북창동 다동 무교동 관광특구,CHINESE_FOOD,THURSDAY,12,1852607,324732,156,2081.6154,1690.5578,123.13,5
3001492,명동 남대문 북창동 다동 무교동 관광특구,CHINESE_FOOD,FRIDAY,12,1852607,334511,156,2144.3013,1690.5578,126.84,5
3001492,명동 남대문 북창동 다동 무교동 관광특구,CHINESE_FOOD,SATURDAY,12,1852607,170063,156,1090.1474,1690.5578,64.48,-6
3001492,명동 남대문 북창동 다동 무교동 관광특구,CHINESE_FOOD,SUNDAY,12,1852607,119671,157,762.2357,1690.5578,45.09,-6
3001492,명동 남대문 북창동 다동 무교동 관광특구,JAPANESE_FOOD,MONDAY,12,1928614,307432,157,1958.1656,1759.7278,111.28,2
3001492,명동 남대문 북창동 다동 무교동 관광특구,JAPANESE_FOOD,TUESDAY,12,1928614,334331,157,2129.4968,1759.7278,121.01,4
3001492,명동 남대문 북창동 다동 무교동 관광특구,JAPANESE_FOOD,WEDNESDAY,12,1928614,343027,157,2184.8854,1759.7278,124.16,5
3001492,명동 남대문 북창동 다동 무교동 관광특구,JAPANESE_FOOD,THURSDAY,12,1928614,346214,156,2219.3205,1759.7278,126.12,5
3001492,명동 남대문 북창동 다동 무교동 관광특구,JAPANESE_FOOD,FRIDAY,12,1928614,346928,156,2223.8974,1759.7278,126.38,5
3001492,명동 남대문 북창동 다동 무교동 관광특구,JAPANESE_FOOD,SATURDAY,12,1928614,137850,156,883.6538,1759.7278,50.22,-6
3001492,명동 남대문 북창동 다동 무교동 관광특구,JAPANESE_FOOD,SUNDAY,12,1928614,112832,157,718.6752,1759.7278,40.84,-6
3001492,명동 남대문 북창동 다동 무교동 관광특구,WESTERN_FOOD,MONDAY,12,2224259,233300,157,1485.9873,2029.7274,73.21,-5
3001492,명동 남대문 북창동 다동 무교동 관광특구,WESTERN_FOOD,TUESDAY,12,2224259,330882,157,2107.5287,2029.7274,103.83,1
3001492,명동 남대문 북창동 다동 무교동 관광특구,WESTERN_FOOD,WEDNESDAY,12,2224259,379056,157,2414.3694,2029.7274,118.95,4
3001492,명동 남대문 북창동 다동 무교동 관광특구,WESTERN_FOOD,THURSDAY,12,2224259,350810,156,2248.7821,2029.7274,110.79,2
3001492,명동 남대문 북창동 다동 무교동 관광특구,WESTERN_FOOD,FRIDAY,12,2224259,351957,156,2256.1346,2029.7274,111.15,2
3001492,명동 남대문 북창동 다동 무교동 관광특구,WESTERN_FOOD,SATURDAY,12,2224259,297420,156,1906.5385,2029.7274,93.93,-1
3001492,명동 남대문 북창동 다동 무교동 관광특구,WESTERN_FOOD,SUNDAY,12,2224259,280834,157,1788.7516,2029.7274,88.13,-2
3001492,명동 남대문 북창동 다동 무교동 관광특구,CHICKEN,MONDAY,12,559946,81317,157,517.9427,510.9948,101.36,0
3001492,명동 남대문 북창동 다동 무교동 관광특구,CHICKEN,TUESDAY,12,559946,89760,157,571.7197,510.9948,111.88,2
3001492,명동 남대문 북창동 다동 무교동 관광특구,CHICKEN,WEDNESDAY,12,559946,96981,157,617.7134,510.9948,120.88,4
