commercial_area_code,business_type,day_of_week,weight
3001493,JAPANESE_FOOD,WEDNESDAY,3
3001493,JAPANESE_FOOD,THURSDAY,4
3001493,JAPANESE_FOOD,FRIDAY,6
3001493,JAPANESE_FOOD,SATURDAY,6
3001493,JAPANESE_FOOD,SUNDAY,-6
3001493,WESTERN_FOOD,MONDAY,-5
3001493,WESTERN_FOOD,TUESDAY,-4
3001493,WESTERN_FOOD,WEDNESDAY,-3
3001493,WESTERN_FOOD,THURSDAY,-3
3001493,WESTERN_FOOD,FRIDAY,0
3001493,WESTERN_FOOD,SATURDAY,6
3001493,WESTERN_FOOD,SUNDAY,6
3001493,CHICKEN,MONDAY,-4
3001493,CHICKEN,TUESDAY,-1
3001493,CHICKEN,WEDNESDAY,1
3001493,CHICKEN,THURSDAY,0
3001493,CHICKEN,FRIDAY,4
3001493,CHICKEN,SATURDAY,2
3001493,CHICKEN,SUNDAY,-2
3001493,FAST_FOOD,MONDAY,-2
3001493,FAST_FOOD,TUESDAY,0
3001493,FAST_FOOD,WEDNESDAY,1
3001493,FAST_FOOD,THURSDAY,1
3001493,FAST_FOOD,FRIDAY,2
3001493,FAST_FOOD,SATURDAY,1
3001493,FAST_FOOD,SUNDAY,-2
3001493,BUNSIK,MONDAY,0
3001493,BUNSIK,TUESDAY,1
3001493,BUNSIK,WEDNESDAY,1
3001493,BUNSIK,THURSDAY,1
3001493,BUNSIK,FRIDAY,1
3001493,BUNSIK,SATURDAY,-2
3001493,BUNSIK,SUNDAY,-3
3001493,CAFE_BEVERAGE,MONDAY,2
3001493,CAFE_BEVERAGE,TUESDAY,3
3001493,CAFE_BEVERAGE,WEDNESDAY,3
3001493,CAFE_BEVERAGE,THURSDAY,3
3001493,CAFE_BEVERAGE,FRIDAY,-1
3001493,CAFE_BEVERAGE,SATURDAY,-6
3001493,CAFE_BEVERAGE,SUNDAY,-4
3001493,BAKERY,MONDAY,2
3001493,BAKERY,TUESDAY,4
3001493,BAKERY,WEDNESDAY,4
3001493,BAKERY,THURSDAY,5
3001493,BAKERY,FRIDAY,3
3001493,BAKERY,SATURDAY,-5
3001493,BAKERY,SUNDAY,-6
3001494,KOREAN_FOOD,MONDAY,0
3001494,KOREAN_FOOD,TUESDAY,1
3001494,KOREAN_FOOD,WEDNESDAY,1
3001494,KOREAN_FOOD,THURSDAY,2
3001494,KOREAN_FOOD,FRIDAY,3
3001494,KOREAN_FOOD,SATURDAY,1
3001494,KOREAN_FOOD,SUNDAY,-6
3001494,CHINESE_FOOD,MONDAY,-1
3001494,CHINESE_FOOD,TUESDAY,1
3001494,CHINESE_FOOD,WEDNESDAY,2
3001494,CHINESE_FOOD,THURSDAY,2
3001494,CHINESE_FOOD,FRIDAY,3
3001494,CHINESE_FOOD,SATURDAY,-2
3001494,CHINESE_FOOD,SUNDAY,-5
3001494,JAPANESE_FOOD,MONDAY,3
3001494,JAPANESE_FOOD,TUESDAY,4
3001494,JAPANESE_FOOD,WEDNESDAY,5
3001494,JAPANESE_FOOD,THURSDAY,6
3001494,JAPANESE_FOOD,FRIDAY,5
3001494,JAPANESE_FOOD,SATURDAY,-6
3001494,JAPANESE_FOOD,SUNDAY,-6
3001494,WESTERN_FOOD,MONDAY,-1
3001494,WESTERN_FOOD,TUESDAY,1
3001494,WESTERN_FOOD,WEDNESDAY,3
3001494,WESTERN_FOOD,THURSDAY,3
3001494,WESTERN_FOOD,FRIDAY,5
3001494,WESTERN_FOOD,SATURDAY,-3
3001494,WESTERN_FOOD,SUNDAY,-6
3001494,CHICKEN,MONDAY,-3
3001494,CHICKEN,TUESDAY,0
3001494,CHICKEN,WEDNESDAY,0
3001494,CHICKEN,THURSDAY,1
3001494,CHICKEN,FRIDAY,5
3001494,CHICKEN,SATURDAY,2
3001494,CHICKEN,SUNDAY,-5
3001494,FAST_FOOD,MONDAY,0
3001494,FAST_FOOD,TUESDAY,1
3001494,FAST_FOOD,WEDNESDAY,2
3001494,FAST_FOOD,THURSDAY,2
3001494,FAST_FOOD,FRIDAY,3
3001494,FAST_FOOD,SATURDAY,-1
3001494,FAST_FOOD,SUNDAY,-6
3001494,BUNSIK,MONDAY,-2
3001494,BUNSIK,TUESDAY,-1
3001494,BUNSIK,WEDNESDAY,0
3001494,BUNSIK,THURSDAY,0
3001494,BUNSIK,FRIDAY,2
3001494,BUNSIK,SATURDAY,5
3001494,BUNSIK,SUNDAY,-3
3001494,CAFE_BEVERAGE,MONDAY,1
3001494,CAFE_BEVERAGE,TUESDAY,2
3001494,CAFE_BEVERAGE,WEDNESDAY,3
3001494,CAFE_BEVERAGE,THURSDAY,3
3001494,CAFE_BEVERAGE,FRIDAY,4
3001494,CAFE_BEVERAGE,SATURDAY,-3
3001494,CAFE_BEVERAGE,SUNDAY,-6
3001494,BAKERY,MONDAY,1
3001494,BAKERY,TUESDAY,1
3001494,BAKERY,WEDNESDAY,3
3001494,BAKERY,THURSDAY,2
3001494,BAKERY,FRIDAY,4
3001494,BAKERY,SATURDAY,4
3001494,BAKERY,SUNDAY,-6
3001495,KOREAN_FOOD,MONDAY,-2
3001495,KOREAN_FOOD,TUESDAY,-2
3001495,KOREAN_FOOD,WEDNESDAY,-1
3001495,KOREAN_FOOD,THURSDAY,-1
3001495,KOREAN_FOOD,FRIDAY,1
3001495,KOREAN_FOOD,SATURDAY,4
3001495,KOREAN_FOOD,SUNDAY,1
3001495,CHINESE_FOOD,MONDAY,-1
3001495,CHINESE_FOOD,TUESDAY,-1
